IP,CVSS Base Vector,Posture,Access Vector,Access Vector Score,Access Complexity,Access Complexity Score,Authentication,Authentication Score,Confidentiality Impact,Confidentiality Impact Score,Integrity Impact,Integrity Impact Score,Availability Impact,Availability Impact Score,Exploitability %,Affected Metrics,Statement
192.168.1.1,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:L/Au:M/C:C/I:P/A:N,Privileged Insider,A,0.646,L,0.71,M,0.45,C,0.66,P,0.275,N,0,32.94685548782926,"Confidentiality,Integrity","This vulnerability can be exploited 32.9% of the time and it causes a loss of Confidentiality,Integrity."
,CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:P,Outsider,N,1,H,0.35,N,0.704,P,0.275,N,0,P,0.275,42.08773443167991,"Confidentiality,Availability","This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality,Availability."
192.168.1.2,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:H/Au:N/C:C/I:N/A:C,Outsider,N,1,H,0.35,N,0.704,C,0.66,N,0,C,0.66,42.08773443167991,"Confidentiality,Availability","This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality,Availability."
,CVSS2#AV:A/AC:L/Au:M/C:N/I:P/A:P,Privileged Insider,A,0.646,L,0.71,M,0.45,N,0,P,0.275,P,0.275,32.94685548782926,"Integrity,Availability","This vulnerability can be exploited 32.9% of the time and it causes a loss of Integrity,Availability."
192.168.1.3,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:M/Au:M/C:P/I:N/A:N,Outsider,N,1,M,0.61,M,0.45,P,0.275,N,0,N,0,48.50872031579369,Confidentiality,This vulnerability can be exploited 48.5% of the time and it causes a loss of Confidentiality.
,CVSS2#AV:L/AC:L/Au:N/C:N/I:P/A:P,Insider,L,0.395,L,0.71,N,0.704,N,0,P,0.275,P,0.275,30.899406458689185,"Integrity,Availability","This vulnerability can be exploited 30.9% of the time and it causes a loss of Integrity,Availability."
192.168.1.4,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:C,Outsider,N,1,H,0.35,N,0.704,P,0.275,N,0,C,0.66,42.08773443167991,"Confidentiality,Availability","This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality,Availability."
,CVSS2#AV:A/AC:L/Au:M/C:N/I:P/A:C,Privileged Insider,A,0.646,L,0.71,M,0.45,N,0,P,0.275,C,0.66,32.94685548782926,"Integrity,Availability","This vulnerability can be exploited 32.9% of the time and it causes a loss of Integrity,Availability."
192.168.1.5,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:M/Au:S/C:P/I:C/A:P,Privileged Insider,A,0.646,M,0.61,S,0.56,P,0.275,C,0.66,P,0.275,36.209127625663385,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 36.2% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:L/AC:L/Au:N/C:P/I:C/A:N,Insider,L,0.395,L,0.71,N,0.704,P,0.275,C,0.66,N,0,30.899406458689185,"Confidentiality,Integrity","This vulnerability can be exploited 30.9% of the time and it causes a loss of Confidentiality,Integrity."
192.168.1.6,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:H/Au:S/C:P/I:N/A:P,Outsider,N,1,H,0.35,S,0.56,P,0.275,N,0,P,0.275,30.57109071070717,"Confidentiality,Availability","This vulnerability can be exploited 30.6% of the time and it causes a loss of Confidentiality,Availability."
,CVSS2#AV:A/AC:M/Au:S/C:P/I:P/A:C,Privileged Insider,A,0.646,M,0.61,S,0.56,P,0.275,P,0.275,C,0.66,36.209127625663385,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 36.2% of the time and it causes a loss of Confidentiality,Integrity,Availability."
192.168.1.7,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:H/Au:N/C:P/I:C/A:N,Outsider,N,1,H,0.35,N,0.704,P,0.275,C,0.66,N,0,42.08773443167991,"Confidentiality,Integrity","This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality,Integrity."
,CVSS2#AV:L/AC:M/Au:M/C:P/I:N/A:P,Privileged Insider,L,0.395,M,0.61,M,0.45,P,0.275,N,0,P,0.275,10.56035098342769,"Confidentiality,Availability","This vulnerability can be exploited 10.6% of the time and it causes a loss of Confidentiality,Availability."
192.168.1.8,,,,,,,,,,,,,,,,,
,CVSS2#AV:L/AC:M/Au:N/C:C/I:P/A:P,Insider,L,0.395,M,0.61,N,0.704,C,0.66,P,0.275,P,0.275,24.545143986609613,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 24.5% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:L/AC:L/Au:M/C:C/I:N/A:P,Privileged Insider,L,0.395,L,0.71,M,0.45,C,0.66,N,0,P,0.275,14.622024438592181,"Confidentiality,Availability","This vulnerability can be exploited 14.6% of the time and it causes a loss of Confidentiality,Availability."
192.168.1.9,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:H/Au:M/C:C/I:P/A:P,Outsider,N,1,H,0.35,M,0.45,C,0.66,P,0.275,P,0.275,21.773654534964095,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 21.8% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:L/AC:L/Au:N/C:N/I:C/A:C,Insider,L,0.395,L,0.71,N,0.704,N,0,C,0.66,C,0.66,30.899406458689185,"Integrity,Availability","This vulnerability can be exploited 30.9% of the time and it causes a loss of Integrity,Availability."
192.168.1.10,,,,,,,,,,,,,,,,,
